Sample,Ref,Ophiolite,Location/Unit,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Age_estimate_type,Age_ref,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
12FW169,[8],Luobusa,,,,Gabbros,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.22,0.45,,0.294,0.51314,56,,8.2,0.53,221.74,0.007,0.704833,13,0.70482,,,,,,,,,,,,,,0.066,0.151,0.062,0.283226,0.000129,,13.6
12FW181,[8],Luobusa,,,,Gabbros,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.37,0.69,,0.321,0.513105,15,,7,0.31,59.79,0.015,0.704578,11,0.70455,,,,,,,,,,,,,,0.097,0.108,0.128,0.283422,0.000093,,14.9
12FW170,[8],Luobusa,,,,Amphibolites,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.04,8.04,,0.229,0.513183,13,,10.1,4.15,193.9,0.062,0.705939,9,0.705825,,,,,,,,,,,,,,0.447,1.256,0.051,0.283413,0.000018,,21.2
12FW171,[8],Luobusa,,,,Amphibolites,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.39,6.29,,0.23,0.513249,14,,11.4,3.63,206.08,0.051,0.705789,15,0.705695,,,,,,,,,,,,,,0.358,1.203,0.042,0.283357,0.000021,,19.9
12FW172,[8],Luobusa,,,,Amphibolites,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.66,6.58,,0.245,0.513143,14,,9.1,7.02,101.24,0.201,0.705953,12,0.705583,,,,,,,,,,,,,,0.45,1.624,0.039,0.283405,0.000017,,21.9
12FW174,[8],Luobusa,,,,Amphibolites,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.12,8.15,,0.232,0.513237,14,,11.1,9.79,140.53,0.202,0.705743,9,0.705371,,,,,,,,,,,,,,0.366,1.09,0.048,0.283308,0.000021,,17.7
12FW174-R,[8],Luobusa,,,,Amphibolites,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.31,8.63,,0.232,0.513263,11,,11.6,9.43,139.89,0.195,0.705785,14,0.705425,,,,,,,,,,,,,,0.397,1.116,0.05,0.283329,0.000013,,18.2
12FW175,[8],Luobusa,,,,Amphibolites,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.98,9.53,,0.189,0.513164,14,,10.4,9.66,169.88,0.165,0.705747,11,0.705443,,,,,,,,,,,,,,0.359,1.006,0.051,0.28335,0.000027,,18.9
12FW176,[8],Luobusa,,,,Amphibolites,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.16,7.33,,0.261,0.513275,11,,11.4,10.28,64.62,0.46,0.70598,9,0.705131,,,,,,,,,,,,,,0.52,1.768,0.042,0.283389,0.000012,,21.1
BAR98-1 G ,[3],Bar,,,,Gabbro,WR,MOR,130.00,Biostratigraphy,Zhang et al. 2005,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.292 ,9.096 ,,0.2188 ,0.513109 ,,,8.80,5.90 ,218.7 ,0.0780 ,0.70413 ,,0.70399 ,0.1317 ,0.0117 ,0.0303 ,14.9 ,5.56 ,,17.97,15.48,37.948 ,17.86,15.47,37.85,,,,,,,,
BAR98-3 G ,[3],Bar,,,,Gabbro,WR,MOR,130.00,Biostratigraphy,Zhang et al. 2005,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.966 ,5.380 ,,0.2208 ,0.513107 ,,,8.70,69.4 ,448.1 ,0.4481 ,0.70485 ,,0.70402 ,,,,,,,,,,,,,,,,,,,,
BAR98-6 ,[3],Bar,,,,Basalt,WR,OIB,130.00,Biostratigraphy,Zhang et al. 2005,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,7.330 ,34.42 ,,0.1287 ,0.512751 ,,,3.30,7.37 ,147.7 ,0.1442 ,0.70443 ,,0.70416 ,3.280 ,0.7946 ,3.936 ,80.7 ,15.8 ,,19.13,15.629 ,39.524 ,18.81,15.61,39.00,,,,,,,,
DJB98-11 ,[3],Dajiweng,,,,Basalt,WR,OIB,130.00,Biostratigraphy,Zhang et al. 2005,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,5.150 ,20.95 ,,0.1486 ,0.512800 ,,,3.90,4.06 ,1425 ,0.0083 ,0.70824 ,,0.70823 ,1.563 ,0.4258 ,0.9301 ,39.8 ,17.6 ,,19.16,15.60,39.152 ,18.81,15.58,38.90,,,,,,,,
DJB98-18 G ,[3],Dajiweng,,,,Gabbro,WR,MOR,130.00,Biostratigraphy,Zhang et al. 2005,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.237 ,3.677 ,,0.2033 ,0.513049 ,,,7.90,1.59 ,611.3 ,0.0075 ,0.70461 ,,0.70460 ,0.1069 ,0.0429 ,0.1976 ,121 ,25.2 ,,18.43,15.52,38.417 ,17.92,15.50,37.64,,,,,,,,
DJB98-20 ,[3],Dajiweng,,,,,WR,OIB,130.00,Biostratigraphy,Zhang et al. 2005,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,7.359 ,35.10 ,,0.1268 ,0.512801 ,,,4.30,4.71 ,369.2 ,0.0369 ,0.70403 ,,0.70396 ,1.163 ,0.6940 ,2.227 ,129 ,39.0 ,,19.39,15.58,39.715 ,18.59,15.54,38.88,,,,,,,,
11-DC-25,[9],Dongco,,,,Basalt,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,8.04,39.2,,0.125,0.512825,5,,4.9,61.4,355,0.5002,0.705266,4,0.7043,,,,,,,,,,,,,,,,,,,,
11-DC-26,[9],Dongco,,,,Basalt,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,8.03,39.7,,0.123,0.512831,6,,5,10.2,403,0.0731,0.704246,5,0.7041,,,,,,,,,,,,,,,,,,,,
11-DC-27,[9],Dongco,,,,Basalt,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,8.43,41.4,,0.1239,0.512805,5,,4.5,29.4,571,0.1488,0.704604,4,0.7043,,,,,,,,,,,,,,,,,,,,
11-DC-28,[9],Dongco,,,,Basalt,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,11.6,62.4,,0.113,0.51283,6,,5.2,57.6,417,0.3996,0.705626,4,0.7049,,,,,,,,,,,,,,,,,,,,
11-DC-30,[9],Dongco,,,,Pillow,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,8.69,41.2,,0.1286,0.512875,7,,5.8,1.26,221,0.0164,0.704025,5,0.704,,,,,,,,,,,,,,,,,,,,
11-DC-31,[9],Dongco,,,,Pillow,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,10,46.6,,0.131,0.512855,4,,5.3,76,201,1.0935,0.705455,4,0.7034,,,,,,,,,,,,,,,,,,,,
11-DC-40,[9],Dongco,,,,Basalt,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,4.98,20.8,,0.1457,0.512897,8,,5.9,44.5,81.5,1.5785,0.707281,4,0.7043,,,,,,,,,,,,,,,,,,,,
11-DC-41,[9],Dongco,,,,Basalt,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,6.99,29.7,,0.1433,0.512861,5,,5.3,23.1,181,0.3694,0.705409,4,0.7047,,,,,,,,,,,,,,,,,,,,
11-DC-42,[9],Dongco,,,,Basalt,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,6.85,29.7,,0.1406,0.512854,5,,5.2,15.6,155,0.2915,0.705058,3,0.7045,,,,,,,,,,,,,,,,,,,,
11-DC-43,[9],Dongco,,,,Basalt,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,7.98,34.5,,0.1408,0.512851,4,,5.1,39.4,258,0.4408,0.705618,4,0.7048,,,,,,,,,,,,,,,,,,,,
11-DC-44,[9],Dongco,,,,Basalt,,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,6.75,28.2,,0.1455,0.512866,5,,5.3,14.2,154,0.2659,0.705062,4,0.7046,,,,,,,,,,,,,,,,,,,,
D-24,[5],Dongco,,,,Basalt,WR,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,11.5,59,,0.1178,0.512708,9,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
D-25,[5],Dongco,,,,Basalt,WR,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,5.2,23.6,,0.1332,0.512713,9,,2.54,66.5,189,0.2324,0.704363,13,0.703927,,,,,,,,,,,,,,,,,,,,
D-26,[5],Dongco,,,,Basalt,WR,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,7.88,33.5,,0.1422,0.512887,9,,5.77,15.2,153,0.2569,0.705007,16,0.704525,,,,,,,,,,,,,,,,,,,,
D-27,[5],Dongco,,,,Basalt,WR,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,14.2,74.7,,0.1149,0.512822,9,,4.96,13.6,991,0.1239,0.704934,13,0.704702,,,,,,,,,,,,,,,,,,,,
D-28,[5],Dongco,,,,Basalt,WR,OIB,132,U-Pb,Bao et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,7.55,33.6,,0.136,0.512865,10,,5.46,38.2,281,0.0206,0.704137,13,0.704098,,,,,,,,,,,,,,,,,,,,
11L35-3,[10],Dongbo,,,,Basalt,WR,OIB,137,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,13.46,76.25,,0.1056,0.512725,16,0.51263,3.3,34.52,491.2,0.2174,0.704207,18,0.70378,8.748,7.368,2.283,,,,17.336,15.328,37.372,17.244,15.324,37.277,,,,,,,,
11L35-4,[10],Dongbo,,,,Basalt,WR,OIB,137,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,15.17,90.23,,0.1008,0.512711,18,0.512621,3.1,40.07,750.3,0.1543,0.704246,20,0.70395,9.813,6.894,2.434,,,,17.369,15.331,37.379,17.27,15.326,37.29,,,,,,,,
11L35-5,[10],Dongbo,,,,Basalt,WR,OIB,137,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,9.482,54.99,,0.1142,0.512698,14,0.512596,2.6,61.23,361.8,0.5019,0.705106,16,0.70413,7.952,6.237,1.415,,,,17.348,15.343,37.402,17.291,15.34,37.321,,,,,,,,
11L35-6,[10],Dongbo,,,,Basalt,WR,OIB,137,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,12.81,73.61,,0.1043,0.512701,16,0.512608,2.8,28.46,652.5,0.1186,0.704621,20,0.70439,6.306,6.995,2.038,,,,17.341,15.337,37.384,17.258,15.333,37.294,,,,,,,,
11L35-7,[10],Dongbo,,,,Basalt,WR,OIB,137,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,13.24,75.27,,0.1074,0.512693,18,0.512597,2.6,28.95,352.4,0.2467,0.704526,16,0.70405,5.543,7.621,2.327,,,,17.345,15.34,37.392,17.251,15.335,37.294,,,,,,,,
X71-1,[10],Purang,,,,Basalt,WR,OIB,137,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,4.7,18.1,,0.16,0.512922,8,0.512779,6.2,0.5,197,0.00734,0.706893,29,0.70688,<5,1.18,0.32,,,,18.1618,15.541,38.264,,,,,,,,,,,
X71-3,[10],Purang,,,,Basalt,WR,OIB,137,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,4.59,17.5,,0.16,0.512921,16,0.512778,6.2,0.4,177,0.00654,0.707106,12,0.70709,<5,1.11,0.27,,,,18.2735,15.5184,38.4443,,,,,,,,,,,
X71-5,[10],Purang,,,,Basalt,WR,OIB,137,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,4.42,17.2,,0.16,0.512922,29,0.512779,6.2,0.5,194,0.00746,0.707119,19,0.7071,<5,1.11,0.3,,,,18.1813,15.5076,38.3032,,,,,,,,,,,
X71-7,[10],Purang,,,,Basalt,WR,OIB,137.00,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,5.11,19.8,,0.16,0.51292,14,0.512777,6.1,0.5,157.5,0.00919,0.706811,18,0.70679,<5,1.18,0.27,,,,18.2381,15.5016,38.3698,,,,,,,,,,,
C9-1,[10],Purang,,,,Diabase,WR,MOR,137,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.18,3.4,,0.21,0.513092,34,0.512904,8.6,1.7,681,0.00722,0.705324,38,0.70531,<5,<0.05,<0.05,,,,17.948,15.4969,37.8794,,,,,,,,,,,
C9-4,[10],Purang,,,,Diabase,WR,MOR,137,U-Pb,Liu et al. 2014,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.49,4.3,,0.21,0.513097,14,0.512909,8.7,1.2,404,0.00859,0.70491,14,0.704893,<5,0.05,<0.05,,,,17.9054,15.4885,37.8482,,,,,,,,,,,
16KQ-02,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.21,0.513029,5,0.512841,7.42,,,1.26,0.7044,9,0.7019,,,,,,,,,,,,,,,,,,,,
16KQ-03,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.24,0.51309,6,0.512877,8.12,,,0.63,0.7046,8,0.7033,,,,,,,,,,,,,,,,,,,,
16KQ-12,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.21,0.512997,6,0.512804,6.7,,,0.1,0.704,7,0.7038,,,,,,,,,,,,,,,,,,,,
16KQ-13,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.18,0.512936,7,0.512777,6.18,,,0.05,0.7036,8,0.7035,,,,,,,,,,,,,,,,,,,,
16KQ-10,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.24,0.512975,15,0.512761,5.86,,,0.1,0.7053,6,0.7051,,,,,,,,,,,,,,,,,,,,
17KQ-11,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.29,0.513082,18,0.512822,7.05,,,0.03,0.7051,10,0.705,,,,,,,,,,,,,,,,,,,,
17KQ-12,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.25,0.512995,21,0.512772,6.08,,,0.02,0.7048,11,0.7048,,,,,,,,,,,,,,,,,,,,
17KQ-02,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.13,0.512785,8,0.512666,4.01,,,0.1,0.7049,7,0.7047,,,,,,,,,,,,,,,,,,,,
17KQ-03,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.13,0.512796,6,0.512675,4.18,,,0.08,0.7051,5,0.705,,,,,,,,,,,,,,,,,,,,
17KQ-06,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.13,0.512805,8,0.512683,4.34,,,0.33,0.7047,8,0.7041,,,,,,,,,,,,,,,,,,,,
17KQ-07,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.13,0.512836,3,0.512715,4.97,,,0.13,0.7052,8,0.705,,,,,,,,,,,,,,,,,,,,
17KQ-08,[11],Kangqiong,,,,Basalt,,MOR,138,U-Pb,Zeng et al. 2021,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,,,,0.13,0.51282,4,0.512702,4.72,,,0.07,0.7056,7,0.7055,,,,,,,,,,,,,,,,,,,,
NDG-5WR,[12],Nidar,,,,Gabbro,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.31,0.68,,0.2728,0.513088,29,,7.38,,,,0.704292,9,,,,,,,,,,,,,,,,,,,,,
NDG-6WR,[12],Nidar,,,,Gabbro,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.34,0.87,,0.234,0.513064,17,,7.61,,,,0.704718,15,,,,,,,,,,,,,,,,,,,,,
NDG-7WR,[12],Nidar,,,,Gabbro,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.35,0.95,,0.2211,0.513052,18,,7.6,,,,0.705491,14,,,,,,,,,,,,,,,,,,,,,
NDG-8WR,[12],Nidar,,,,Gabbro,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.2,0.51,,0.242,0.513186,52,,9.84,,,,0.704391,9,,,,,,,,,,,,,,,,,,,,,
NDG-9WR,[12],Nidar,,,,Gabbro,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.41,1.09,,0.2274,0.512987,12,,6.22,,,,0.705768,17,,,,,,,,,,,,,,,,,,,,,
NN-13WR,[12],Nidar,,,,Gabbro,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.39,0.86,,0.2742,0.513079,15,,7.18,,,,0.703115,19,,,,,,,,,,,,,,,,,,,,,
NN-14WR,[12],Nidar,,,,Gabbro,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.74,1.93,,0.2314,0.513066,12,,7.69,,,,0.703447,15,,,,,,,,,,,,,,,,,,,,,
NN-15WR,[12],Nidar,,,,Gabbro,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.44,1.1,,0.2418,0.513068,12,,7.55,,,,0.70376,17,,,,,,,,,,,,,,,,,,,,,
NN-19WR,[12],Nidar,,,,Gabbro,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.54,1.28,,0.2551,0.513072,13,,7.39,,,,0.703422,14,,,,,,,,,,,,,,,,,,,,,
NDG-6Pyx,[12],Nidar,,,,Gabbro,Cpx,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.35,0.67,,0.314,0.513094,14,,6.8,,,,0.704239,15,,,,,,,,,,,,,,,,,,,,,
NDG-9Pyx,[12],Nidar,,,,Gabbro,Cpx,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.58,1.32,,0.2656,0.51307,8,,7.2,,,,0.704741,15,,,,,,,,,,,,,,,,,,,,,
NN-14Pyx,[12],Nidar,,,,Gabbro,Cpx,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.1,2.16,,0.3079,0.513119,13,,7.4,,,,0.703481,13,,,,,,,,,,,,,,,,,,,,,
NN-15Pyx,[12],Nidar,,,,Gabbro,Cpx,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.31,2.81,,0.2819,0.513089,14,,7.28,,,,0.703405,14,,,,,,,,,,,,,,,,,,,,,
NN-19Pyx,[12],Nidar,,,,Gabbro,Cpx,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.64,1.1,,0.2784,0.513074,16,,7.05,,,,0.703377,17,,,,,,,,,,,,,,,,,,,,,
NDG-6Plag,[12],Nidar,,,,Gabbro,Plag,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.06,0.25,,0.1451,0.512824,12,,4.55,,,,0.70443,21,,,,,,,,,,,,,,,,,,,,,
NN-15Plag,[12],Nidar,,,,Gabbro,Plag,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.31,1.14,,0.1644,0.512991,18,,7.47,,,,0.703341,14,,,,,,,,,,,,,,,,,,,,,
NN-19Plag,[12],Nidar,,,,Gabbro,Plag,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.18,0.65,,0.1674,0.512972,10,,7.04,,,,0.703267,14,,,,,,,,,,,,,,,,,,,,,
NDV-1SWR,[12],Nidar,,,,Basic Volcanic,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.32,7.56,,0.1857,0.513041,9,,8.02,,,,0.705357,9,,,,,,,,,,,,,,,,,,,,,
NDV-5WR,[12],Nidar,,,,Basic Volcanic,WR,SSZ,140,Sm-Nd isochron,Ahmad et al. 2008,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.23,3.43,,0.2178,0.513054,13,,7.7,,,,0.705587,11,,,,,,,,,,,,,,,,,,,,,
BZ96-4 ,[3],Band-e-Zeyarat ,,,,Basalt,WR,MOR,143.00,Ar-Ar,Ghazi et al. 2004,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.286 ,6.826 ,,0.2024 ,0.512990 ,,,6.70,0.627 ,167.6 ,0.0108 ,0.70377 ,,0.70374 ,0.5227 ,0.0574 ,0.2223 ,27.7 ,6.92 ,,18.21,15.523 ,38.260 ,18.06,15.52,38.06,,,,,,,,
BZ96-6 D ,[3],Band-e-Zeyarat ,,,,Diabase,WR,MOR,143.00,Ar-Ar,Ghazi et al. 2004,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,6.877 ,22.90 ,,0.1815 ,0.512948 ,,,6.30,2.36 ,207.1 ,0.0329 ,0.70365 ,,0.70359 ,2.002 ,0.1221 ,0.5148 ,16.7 ,3.83 ,,18.10,15.490 ,38.080 ,18.01,15.49,37.96,,,,,,,,
BZ96-10 ,[3],Band-e-Zeyarat ,,,,Basalt,WR,MOR,143.00,Ar-Ar,Ghazi et al. 2004,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.523 ,17.25 ,,0.1936 ,0.512954 ,,,6.20,7.14 ,244.1 ,0.0846 ,0.70358 ,,0.70341 ,0.9802 ,0.1075 ,0.5083 ,33.8 ,6.91 ,,18.19,15.509 ,38.253 ,18.03,15.50,38.01,,,,,,,,
BZ97-4-1 ,[3],Band-e-Zeyarat ,,,,Basalt,WR,MOR,143.00,Ar-Ar,Ghazi et al. 2004,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.251 ,9.547 ,,0.2058 ,0.513068 ,,,8.20,2.65 ,322.4 ,0.0237 ,0.70440 ,,0.70435 ,1.073 ,0.0641 ,0.0638 ,3.79 ,3.70 ,,17.697 ,15.404 ,37.459 ,17.61,15.40,37.43,,,,,,,,
BZ97-11-5 ,[3],Band-e-Zeyarat ,,,,Basalt,WR,MOR,143.00,Ar-Ar,Ghazi et al. 2004,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,7.437 ,25.63 ,,0.1754 ,0.512951 ,,,6.50,3.71 ,214.9 ,0.0500 ,0.70349 ,,0.70339 ,2.300 ,0.2417 ,0.8237 ,23.3 ,6.61 ,,18.129 ,15.498 ,38.127 ,17.98,15.49,37.96,,,,,,,,
BZ97-14-1 ,[3],Band-e-Zeyarat ,,,,Basalt,WR,MOR,143.00,Ar-Ar,Ghazi et al. 2004,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.582 ,12.53 ,,0.1728 ,0.512902 ,,,5.50,0.178 ,135.1 ,0.0037 ,0.70448 ,,0.70447 ,0.9133 ,0.2720 ,0.6934 ,49.9 ,18.9 ,,18.511 ,15.537 ,38.421 ,18.09,15.52,38.07,,,,,,,,
BZ97-14-2 D ,[3],Band-e-Zeyarat ,,,,Diabase,WR,MOR,143.00,Ar-Ar,Ghazi et al. 2004,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.449 ,12.15 ,,0.1716 ,0.512904 ,,,5.60,0.126 ,214.1 ,0.0017 ,0.70444 ,,0.70444 ,1.981 ,0.2925 ,0.6934 ,22.8 ,9.33 ,,18.316 ,15.528 ,38.257 ,18.11,15.52,38.10,,,,,,,,
